code,product_name,brands,categories_en,countries_en,nutriscore_grade,nutriscore_score,nova_group,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,carbohydrates_100g,ingredients_text,additives_n,labels_en,sat_fat_ratio,protein_density,sugar_density,has_additives,n_ingredients,has_added_sugar,has_palm_oil,claims_healthy,health_claim,actually_unhealthy,is_DE,grade_upper,is_health_marketed
26195070,Sliced beetroot,"Aldi, New Season, Mühlenhof","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Vegetables,Canned vegetables,Beet,Canned-beet","Australia,Germany",a,0.0,3.0,51.1,0.1,0.1,8.8,2.1,1.1,0.69,0.276,10.4,"Beetroot (61%), Water, Sugar, Acidity Regulator (260), Salt.",1.0,"Australian grown,Suitable-for-vegetarians-vegans",1.0,0.0215264187866927,0.1722113502935421,1,5,1,0,0,,0,0,A,Other
26196756,Just organic yogurt,just organic,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Plain fermented dairy desserts,Plain yogurts","Australia,France",c,5.0,3.0,84.0,4.5,2.7,6.0,0.1,4.8,0.57,0.228,6.0,"organic full cream milk, organic milk powder, cultures (including acidophilus and bifidobacterium)",0.0,"No preservatives,Australian made,No added sugar",0.6000000000000001,0.0571428571428571,0.0714285714285714,0,3,0,0,0,,0,0,C,Other
26202525,Thick & Creamy Yoghurt - Strawberry,"Dairy Cream,Aldi","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts,Strawberry yogurts",Australia,c,8.0,4.0,139.9,7.9,5.2,12.6,0.0,4.3,0.16002,0.064008,12.9,"Milk, Cream (From milk), Milk Solids non Fat, Sugar, Strawberry Base (12%) [Bleed Strawberries (70%), Water, Sugar, Thickener (1442), Natural Strawberry Flavours, Acidity Regulators (331, 330), Fruit and Vegetable Concentrate], Live Cultures.",3.0,"No preservatives,Australian made",0.6582278481012658,0.0307362401715511,0.0900643316654753,1,13,1,0,0,,0,0,C,Other
26205489,Greek Style Yoghurt Sweet and Natural,"Dairy Dream,Aldi","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Greek-style yogurts",Australia,c,7.0,4.0,134.6,7.8,4.9,12.5,0.0,3.6,0.0762,0.03048,12.5,"Milk, Cream (From Milk Sugar (8%), Milk Solids, Live Cultures.  CONTAINS MILK.",0.0,Australian made,0.6282051282051283,0.0267459138187221,0.0928677563150074,0,4,1,0,0,,0,0,C,Other
26208039,Double Time,"Aldi,Double Time","Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Wafers,Chocolate biscuits,Stuffed wafers,Chocolate stuffed wafers",Australia,e,31.0,,526.0,28.5,17.0,51.0,0.0,5.9,0.3,0.12,60.5,,0.0,Made in Spain,0.5964912280701754,0.0112167300380228,0.0969581749049429,0,1,0,0,0,,1,1,E,Other
26229577,White Chocolate Palazzo Cookies,"Aldi,Belmont Biscuit Co","Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Chocolate biscuits",Australia,e,28.0,,526.0,28.5,18.2,43.4,0.0,5.7,0.125,0.05,61.1,,0.0,"Sustainable farming,UTZ Certified,UTZ Certified Cocoa",0.6385964912280702,0.0108365019011406,0.082509505703422,0,1,0,0,0,,1,1,E,Other
26264288,Hi-protein greek style strained yogurt,,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Greek-style yogurts",Australia,a,-4.0,,57.0,0.2,0.1,3.3,0.0,9.7,0.0,0.0,4.2,"Skim Milk, Live Cultures (Including Acidophilus, Bifidus and Casei). CONTAINS MILK.",0.0,Contains milk,0.5,0.1701754385964912,0.0578947368421052,0,3,0,0,1,protein,0,0,A,Health-marketed
26264455,Greek Style Yoghurt - Cherry,"Dairy Dream,Aldi","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Greek-style yogurts",Australia,c,8.0,4.0,135.6,6.8,4.4,15.1,0.0,3.1,0.0635,0.0254,15.5,"Milk, Cream (From Milk), Sugar, Cherry Products (6%) [Cherries, Reconstituted Cherry Juice], Milk Solids, Reconstituted Elderberry Juice, Corn Starch, Flavour, Stabilisers (440, 410), Vegetable Concentrate, Acidity Regulators (296, 331), Live Cultures (Lactobacillus bulgaricus and Streptococcus thermophilus), Gelling Agent (509). CONTAINS MILK. MAY CONTAIN GLUTEN CEREALS. Suitable for Vegetarians.",5.0,"Vegetarian,Australian made",0.6470588235294118,0.0228613569321533,0.1113569321533923,1,16,1,0,0,,0,0,C,Other
26264479,Greek style yogurt strawberry,,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Greek-style yogurts",Australia,c,8.0,4.0,139.0,6.8,4.4,15.8,0.0,3.1,0.11,0.044,16.3,"Milk, Sugar, Cream (From Milk). Strawberry Products (10%) [Diced Strawberries, Reconstituted Strawberry Juice], Milk Solids, Rice Starch, Vegetable and Fruit Concentrates, Stabiliser (410), Live Cultures (Lactobacillus bulgaricus and Streptococcus thermophilus), Acidity Regulators (331, 296), Flavour. CONTAINS MILK. MAY CONTAIN GLUTEN CEREALS.",3.0,,0.6470588235294118,0.0223021582733812,0.1136690647482014,1,12,1,0,0,,0,0,C,Other
26279626,Orange marmelade,Grandessa,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Spreads,Plant-based spreads,Sweet spreads,Fruit and vegetable preserves,Jams,Citrus jams,Marmalades,Orange jams","Australia,France",d,18.0,4.0,273.0,0.1,0.1,66.0,0.0,0.4,0.05,0.02,66.0,"Sugar, Orange (40%), Gelling Agent (440), Acidity Regulator (330).",2.0,Made in Belgium,1.0,0.0014652014652014,0.2417582417582417,1,4,1,0,0,,1,1,D,Other
