product_name,brands,nutriscore_grade,health_claim,labels_en,sugars_100g,salt_100g,saturated_fat_100g,additives_n
OLD GOLD DARK CHOCOLATE,Cadbury,e,diet,Be-treat-wise-enjoy-a-balanced-diet,48.8,0.03,18.8,8.0
Salted Caramel Protein Bar,Tasti,e,protein,,46.875,2.75,15.0,3.0
ICED CHOCOLATE FLAVOURED MILK,Nippy's,e,low fat,"Low or no fat,Low fat,No gluten,Reduced fat,FSC,FSC Mix,High in calcium",32.6,0.4225,5.6,0.0
Protein Oat Bar,Hillcrest,e,protein,"Sustainable,Sustainable Palm Oil",27.25,1.325,16.5,7.0
Superfood Snacking Mix,Coles,d,superfood,,23.3,0.085,8.4,1.0
"DELUXE PROTEIN BARS salted caramel, cashew & choc",Nice & Natural,e,protein,,23.25,0.81875,12.5,1.0
Protein Greek Style Yoghurt & Berry,Carman's,d,protein,"No gluten,Australian made",22.75,0.55,5.5,2.0
Protein Cookie Choc Chip,My Muscle Chef,e,protein,Australian made,21.4130434782609,0.991847826086957,10.5434782608696,7.0
NUTRI-GRAIN HIGH PROTEIN CRUNCH,Kellogg's,d,protein,"Vegetarian,Vegan,Australian made,Health Star Rating,Health Star Rating 4",20.8888888888889,0.883333333333333,0.888888888888889,0.0
Chocolate Brownie Whole Food Protein Bar,Sam's Pantry,d,protein,"Vegetarian,No gluten,Australian made,Kosher-dairy",20.3,0.0,8.0,2.0
Protein smoothie,Dairy Farmers,e,protein,"Health Star Rating,Health Star Rating 5,No added sugar",18.8,0.55,3.6,2.0
"Protein Coconut, Yoghurt & Roasted Nut",Carman's,e,protein,"No gluten,Australian made",18.75,0.6,9.75,2.0
Protein Double Dark Choc,Carman's,e,protein,No gluten,18.5,0.69375,13.5,2.0
PROTEIN smoothie+ Banana Honey,Dairy Farmers,e,protein,"Health Star Rating,Health Star Rating 5",18.4,0.65,3.6,2.0
slow dry-roasted nutritious snack,munchme,d,nutritious,"Vegetarian,Vegan,Health Star Rating,Health Star Rating 5",17.4,0.425,4.3,0.0
UP&GO PROTEIN ENERGIZE,Sanitarium,e,protein,"FSC,Health Star Rating,Health Star Rating 5,Made-in-australia-from-at-least-82-australian-ingredients",16.6,0.0005625,0.7,5.0
Protein Oat Slice Apple & Cinnamon,My Muscle Chef,d,protein,,15.4444444444444,0.877777777777778,9.55555555555556,0.0
Protein Salted Caramel Nut Butter,Carman's,d,protein,No gluten,15.25,0.9625,6.0,1.0
true protein bar,true,d,protein,Natural flavors,14.8,0.0,9.9,0.0
Protein Oat Slice,Chief,e,protein,"Natural flavors,Pure cocoa butter",14.7,0.0,12.9,3.0
Light & Creamy Evaporated Milk,Nestle Carnation,e,light,"Health Star Rating,Health Star Rating 4,Light-creamy",13.5,0.325,0.9,1.0
Protein Pancake Mix Original,The Healthy Baker,d,protein,"No artificial flavors,Australian made,Health Star Rating,Health Star Rating 3.5,No artificial colors,No artificial colours or flavours",12.0,1.615,1.0,4.0
Protein Cheesecake Caramel Biscuit,Musclenation,d,protein,Australian made,10.2,0.503,6.4,6.0
Grass Fed Whey Protein Isolate,Bulk Nutrients,d,protein,Australian made,8.33333333333333,0.691666666666667,4.33333333333333,0.0
Whey Protein Crisps,Fresh Life,d,protein,,7.5,0.4475,3.9,0.0
Protein Smoothie Strawberry,Rokeby,d,protein,,5.90588235294118,0.0453,1.10588235294118,1.0
Carb Killa Protein Spread Hazel Nutter Flavour,Grenade Carb Killa,d,protein,"Sustainable,Sustainable Palm Oil",5.6,0.24,8.7,2.0
CHOC MINT CRUNCH HIGH PROTEIN BAR,BC,d,protein,"Health Star Rating,Health Star Rating 5,No added sugar",4.75,0.49375,6.5,1.0
"Nut Bars Low Sugar & Low Carb Dark Choc, Roasted Almond & Cashew",Carman's,d,low sugar,"Australian made,Health Star Rating,Health Star Rating 3",4.70588,0.149,13.52941,0.0
Cruskits Light,Arnotts,e,light,"Australian made,Health Star Rating,Health Star Rating 4",4.3859649122807,8.4641447368421,0.87719298245614,0.0
light sour cream,Coles,d,light,"Vegetarian,Australian made",3.6,0.09,12.8,0.0
Simply Light Sandwich Slices,Coles,e,light,,3.4,3.07142857142857,11.0952380952381,0.0
Low Carb High Protein Choc Fudge Brownie Bars,Mayver's,d,protein,"No gluten,Australian made,Health Star Rating,Health Star Rating 5,Natural flavors,No added sugar,With Sunflower oil",3.1,0.20574,8.8,3.0
Light Sour Cream,Bulla,d,light,,3.0,0.0775,12.5,0.0
Caramel Nut Chew,Atkins,d,low sugar,"Low or no sugar,Low sugar",2.94117647058824,0.537882352941176,11.7647058823529,7.0
Original Philadelphia,Philadelphia,d,low fat,"Low or no fat,Low fat,Reduced fat,60% less fat,Australian made",2.9,0.875,15.2,0.0
Mini Peanut Butter Choc Chip Keto Protein Cookie,Justine's,d,protein,No added sugar,2.7,0.8325,8.8,0.0
LIGHT MAYONNAISE,HELLMANN'S,d,light,Made in Spain,2.14285714285714,1.69642857142857,2.85714285714286,0.0
Protein Salami,Primo,e,protein,,1.81818181818182,2.5,11.0909090909091,0.0
Light Coconut Milk,AYAM,e,light,"No gluten,No added sugar",1.71428571428571,0.121428571428571,14.8571428571429,0.0
Low Sugar Baked Chocolate Oat Bar,Coles Joyful,d,low sugar,"No gluten,Health Star Rating,Health Star Rating 3.5,Rainforest Alliance",1.66666666666667,0.153333333333333,12.6666666666667,0.0
Light Coconut Cream,AYAM,d,light,,1.5,0.0325,13.0,0.0
Light Tasty Cheese Shredded,Westacre Dairy,d,light,,1.2,1.8,15.2,1.0
Light Tasty Cheese Slices,Westacre Dairy,d,light,,1.17647058823529,1.79411764705882,15.2941176470588,0.0
Wraps LITE,Mission,d,lite,,1.001,1.67205,1.001,9.0
Light Cholesterol spread,Sunny vale,e,light,"Sustainable,Sustainable Palm Oil,Australian made",1.0,0.925,11.0,8.0
Light Tasty Cheddar,Coles,d,light,"Vegetarian,Australian made,Health Star Rating,Health Star Rating 4",1.0,1.6625,16.6,3.0
Light thickened cream,Coles,d,light,"Australian made,Health Star Rating,Health Star Rating 2",1.0,0.075,12.9,0.0
Sunny vale light olive,Aldi,d,light,"Sustainable,Sustainable Palm Oil,Made-in-australia-from-at-least-72-australian-ingredients",1.0,0.905,14.6,5.0
Protein Powder,Nature's Way,d,protein,"Vegetarian,Vegan",0.85714,2.25,0.88571,0.0
Light coconut milk,TCC,e,light,,0.75,0.05,5.625,2.0
three olive dip & spread,Chris' Homestyle,d,low sugar,"Low or no sugar,Low sugar,No gluten",0.5,2.375,4.0,8.0
Australian Light Tasty Shredded Cheese,Woolworths,d,light,"Australian made,Health Star Rating,Health Star Rating 4",0.4,1.56,16.4,0.0
High Protein Fetta,Riverina Dairy Co.,d,protein,Australian made,0.1,3.0,8.3,0.0
Mini cheese protein,Babybel,d,protein,Calcium source,0.01,1.775,10.5,0.0
Light Philadelphia,Philadelphia,d,light,Australian made,0.0,0.95,15.2,0.0
Light Mozzarella Shredded Cheese,Coles,d,light,,0.0,1.375,10.8,2.0
